ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,4,bad,177,3,low,F,44,1233,yes
2,F,Flight,4,excellent,216,2,low,M,59,3088,yes
3,A,Flight,2,bad,183,4,low,M,48,3374,yes
4,B,Flight,3,ok,176,4,medium,M,10,1177,yes
5,C,Flight,2,bad,184,3,medium,F,46,2484,yes
6,F,Flight,3,worst,162,3,medium,F,12,1417,yes
7,D,Flight,3,good,250,3,low,F,3,2371,yes
8,F,Flight,4,worst,233,2,low,F,48,2804,yes
9,A,Flight,3,good,150,3,low,F,11,1861,yes
10,B,Flight,3,bad,164,3,medium,F,29,1187,yes
11,C,Flight,3,good,189,2,medium,M,12,2888,yes
12,F,Flight,4,excellent,232,3,medium,F,32,3253,yes
13,D,Flight,3,excellent,198,3,medium,F,1,3667,yes
14,F,Flight,4,good,275,3,high,M,29,2602,yes
15,A,Flight,4,ok,152,3,low,M,43,1009,yes
16,B,Flight,4,ok,227,3,low,F,45,2707,yes
17,C,Flight,3,good,143,2,medium,F,6,1194,yes
18,F,Ship,5,excellent,227,3,medium,M,36,3952,yes
19,D,Ship,5,excellent,239,3,high,M,18,2495,yes
20,F,Ship,4,excellent,145,3,medium,M,45,1059,yes
21,A,Ship,3,ok,161,2,medium,F,38,1521,yes
22,B,Ship,3,worst,232,4,medium,F,51,2899,yes
23,C,Ship,2,excellent,156,2,low,M,2,1750,yes
24,F,Ship,4,ok,211,3,high,M,12,3922,yes
25,D,Ship,4,excellent,251,2,medium,F,28,3561,yes
26,F,Ship,3,worst,225,4,low,M,29,3496,yes
27,A,Ship,4,worst,172,3,high,F,24,1066,yes
28,B,Ship,5,worst,162,3,medium,M,31,1435,yes
29,C,Ship,2,ok,234,4,low,M,44,3134,yes
30,F,Ship,5,good,183,2,low,F,36,3819,yes
31,D,Ship,3,good,266,2,medium,F,38,2741,yes
32,F,Ship,5,ok,257,2,low,F,61,3341,yes
33,A,Ship,3,worst,223,3,low,F,22,3795,yes
